time,current,voltage,x,y,z,feedrate
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,15.000000,0.000000,1000.000000
0.300000,1.950000,13.410000,0.000000,20.000000,0.000000,1000.000000
